Datetime,close,BB_Upper,BB_Lower,SMA5,SMA_9,SMA_20,SMA34,SMA_50,SMA_100,MACD,AO,RSI,IFT_RSI,SAR,ROC,high,low
2024-06-04 10:45:00,525.93,527.0,526.0,526.53,526.56,525.62,525.6,523.89,,0.61,0.92999999999995,51.99,-0.36,525.82,0.16,527.31,525.82
2024-06-04 11:00:00,525.75,526.99,525.96,526.38,526.5,525.71,525.73,523.99,,0.52,0.6499999999999773,50.9,-0.86,527.82,0.0,526.24,525.62
2024-06-04 11:15:00,525.86,526.98,525.9,526.35,526.49,525.82,525.84,524.1,,0.46,0.5099999999999909,51.57,-1.0,527.82,0.02,526.61,525.73
2024-06-04 11:30:00,525.59,526.97,525.83,526.06,526.25,525.94,525.94,524.2,,0.38,0.11999999999989086,49.78,-0.76,527.73,-0.08,525.9,525.14
2024-06-04 11:45:00,525.25,526.64,525.66,525.68,526.12,525.97,525.98,524.31,,0.29,-0.3000000000000682,47.54,-0.31,527.58,-0.19,525.82,525.23
2024-06-04 12:00:00,525.25,526.57,525.5,525.54,525.98,525.96,525.92,524.42,,0.21,-0.37999999999999545,47.54,0.03,527.43,-0.13,525.49,524.96
2024-06-04 12:15:00,526.01,526.5,525.47,525.59,525.98,526.0,525.84,524.56,,0.21,-0.25,53.02,-0.21,527.23,-0.33,526.1,525.03
2024-06-04 12:30:00,526.56,526.58,525.5,525.73,525.93,526.09,525.8,524.72,,0.25,-0.06999999999993634,56.55,-0.74,527.05,0.03,526.7,525.66
2024-06-04 12:45:00,526.48,526.47,525.5,525.91,525.85,526.16,525.75,524.86,,0.28,0.15999999999996817,55.89,-1.0,526.94,-0.0,526.94,525.93
2024-06-04 13:00:00,526.41,526.29,525.53,526.14,525.91,526.2,525.7,525.0,,0.28,0.4399999999999409,55.29,-0.86,526.94,0.07,526.51,525.7
2024-06-04 13:15:00,526.97,526.48,525.55,526.49,526.04,526.26,525.68,525.13,,0.33,0.8100000000000591,59.15,-0.25,524.96,-0.0,527.0,526.16
2024-06-04 13:30:00,526.55,526.57,525.62,526.59,526.12,526.28,525.69,525.25,,0.33,0.8999999999999773,55.28,-0.13,524.96,-0.12,527.11,526.34
2024-06-04 13:45:00,526.84,526.7,525.69,526.65,526.26,526.31,525.72,525.37,,0.35,0.92999999999995,57.33,0.09,525.05,0.17,527.08,526.56
2024-06-04 14:00:00,527.38,526.93,525.82,526.83,526.49,526.39,525.8,525.5,,0.41,1.0300000000000864,60.92,0.35,525.13,0.31,527.5,526.71
2024-06-04 14:15:00,528.93,527.51,525.97,527.33,526.9,526.44,525.95,525.66,,0.57,1.3799999999999955,68.98,0.59,525.27,0.58,528.97,527.38
2024-06-04 14:30:00,528.95,527.93,526.28,527.73,527.23,526.57,526.1,525.82,,0.69,1.6299999999999955,69.07,0.7,525.57,0.64,529.01,528.42
2024-06-04 14:45:00,528.4,528.17,526.53,528.1,527.43,526.67,526.23,525.95,,0.73,1.8700000000000045,63.68,0.69,525.91,0.6,529.15,528.22
2024-06-04 15:00:00,527.26,528.21,526.63,528.18,527.52,526.73,526.35,526.07,,0.67,1.8299999999999272,54.23,0.53,526.3,0.38,528.4,526.61
2024-06-04 15:15:00,527.65,528.28,526.79,528.24,527.66,526.76,526.44,526.18,,0.64,1.7999999999999545,56.6,0.37,526.61,0.31,527.81,527.18
2024-06-04 15:30:00,528.24,528.41,527.03,528.1,527.8,526.81,526.52,526.3,,0.66,1.580000000000041,59.97,0.29,526.91,0.32,528.24,527.01
2024-06-04 15:45:00,528.35,528.53,527.18,527.98,528.0,526.93,526.62,526.39,,0.67,1.3600000000000136,60.6,0.25,527.01,0.36,528.6,527.9
2024-06-05 09:30:00,530.23,529.02,527.42,528.35,528.38,527.16,526.78,526.45,,0.83,1.57000000000005,69.3,0.43,527.26,0.73,530.82,529.87
2024-06-05 09:45:00,530.08,529.37,527.73,528.91,528.68,527.37,526.93,526.48,,0.93,1.9800000000000182,68.01,0.51,527.76,0.59,530.49,529.51
2024-06-05 10:00:00,529.34,529.51,527.97,529.25,528.72,527.56,527.03,526.51,,0.93,2.2200000000000273,61.85,0.43,528.19,0.53,530.02,528.99
2024-06-05 10:15:00,530.27,529.74,528.01,529.65,528.87,527.81,527.16,526.55,,1.0,2.490000000000009,65.99,0.48,528.56,0.65,530.41,529.2
2024-06-05 10:30:00,530.62,530.01,528.07,530.11,529.11,528.08,527.3,526.6,,1.08,2.810000000000059,67.44,0.56,528.87,0.61,531.12,530.28
2024-06-05 10:45:00,530.96,530.36,528.24,530.25,529.53,528.32,527.44,526.66,,1.15,2.8099999999999454,68.82,0.63,529.23,0.38,531.02,530.48
2024-06-05 11:00:00,531.74,530.8,528.69,530.58,529.98,528.58,527.61,526.78,,1.25,2.9700000000000273,71.76,0.7,529.54,0.53,531.8,530.95
2024-06-05 11:15:00,531.91,531.17,529.17,531.1,530.39,528.85,527.73,526.89,,1.33,3.3700000000000045,72.39,0.75,529.94,0.67,532.18,531.64
2024-06-05 11:30:00,532.33,531.56,529.61,531.51,530.83,529.15,527.91,527.05,,1.41,3.6000000000000227,73.88,0.78,530.39,0.96,532.44,531.86
2024-06-05 11:45:00,532.03,531.75,530.15,531.8,531.03,529.4,528.07,527.21,,1.44,3.7299999999999045,70.9,0.78,530.8,0.83,532.41,531.91
